Time,U,Y,X1,X2,X3
4.66,569.0,-1.0,-1.0,112.56,-20419.0
4.67,567.0,0.0,-0.0,113.08,-20312.21
4.68,-296.0,-1.0,-1.0,112.18,-20214.21
4.69,556.0,-1.0,-1.0,12.54,8935.43
4.7,936.0,-1.0,-1.0,105.2,-18324.71
4.71,631.0,-1.0,-1.0,154.12,-32574.94
4.72,443.0,-1.0,-1.0,121.95,-23019.72
4.73,541.0,-1.0,-1.0,98.79,-16181.38
4.74,622.0,0.0,-0.0,109.61,-19120.26
4.75,-272.0,-1.0,-1.0,118.9,-22010.81
4.76,543.0,0.0,-0.0,16.94,8037.45
4.77,71.0,0.0,0.0,105.19,-17945.17
4.78,-222.0,0.0,0.0,55.38,-3377.65
4.79,-35.0,0.0,0.0,18.34,7333.82
4.8,129.0,0.0,0.0,37.41,1566.02
4.81,98.0,0.0,0.0,57.05,-4314.39
4.82,54.0,0.0,0.0,54.21,-3580.22
4.83,85.0,0.0,0.0,48.65,-2053.04
4.84,128.0,0.0,0.0,51.58,-3021.91
4.85,141.0,0.0,0.0,56.35,-4514.32
4.86,144.0,0.0,0.0,57.77,-5018.23
4.87,158.0,0.0,0.0,57.99,-5164.81
4.88,175.0,0.0,0.0,59.29,-5624.86
4.89,187.0,0.0,0.0,61.07,-6219.53
4.9,196.0,1.0,1.0,63.06,-6665.82
4.91,-653.0,2.0,2.0,64.67,-7011.14
4.92,-1509.0,2.0,2.0,-33.84,21673.64
4.93,-1127.0,3.0,3.0,-138.26,52042.19
4.94,-1529.0,4.0,4.0,-100.99,40757.68
4.95,-2424.0,5.0,5.0,-146.37,53704.67
4.96,-3030.0,6.0,6.0,-253.66,84612.53
4.97,-3380.0,6.0,6.0,-332.26,106663.97
4.98,-2933.0,7.0,7.0,-379.68,119637.14
4.99,-3424.0,8.0,8.0,-333.65,105202.87
5.0,-4095.0,9.0,9.0,-390.81,121029.89
